#{"t_start": 1760181361.28534, "env_id": "None"}
r,l,t
102.0,3,12.59027
104.0,4,12.597535
101.0,1,12.599672
101.0,1,12.601219
103.0,3,12.605617
102.0,2,12.609375
101.0,1,12.611254
101.0,1,12.61312
104.0,6,12.622392
101.0,1,12.62356
101.0,1,12.62471
102.0,2,12.627188
103.0,3,12.63089
101.0,1,12.632261
102.0,2,12.6347
102.0,2,12.637131
101.0,1,12.638285
101.0,1,12.639539
101.0,1,12.640747
104.0,7,12.650917
101.0,1,12.652721
105.0,5,12.662022
101.0,1,12.663836
101.0,1,12.665302
104.0,4,12.670077
102.0,3,12.673954
101.0,1,12.675311
101.0,1,12.676846
104.0,4,12.682788
106.0,7,12.692506
104.0,4,12.697364
101.0,2,12.699811
102.0,2,12.702726
104.0,8,12.714594
103.0,3,12.720001
101.0,1,12.721792
103.0,4,12.728242
102.0,2,12.730652
101.0,1,12.731869
104.0,6,12.741183
101.0,1,12.743243
102.0,3,12.748652
102.0,4,12.756416
101.0,1,12.758377
102.0,2,12.762197
105.0,9,12.776046
101.0,1,12.777298
102.0,3,12.780893
102.0,2,12.783582
102.0,3,12.788466
103.0,4,12.793444
101.0,1,12.794694
102.0,2,12.797198
101.0,1,12.798528
104.0,4,12.804444
101.0,1,12.806244
106.0,7,12.819058
101.0,1,12.820471
101.0,2,12.822927
105.0,7,12.831213
102.0,2,12.833586
101.0,1,12.834974
101.0,1,12.836324
103.0,3,12.840049
102.0,2,12.842307
103.0,4,12.847166
101.0,1,12.848457
101.0,1,12.849758
104.0,4,12.854685
103.0,5,12.860434
102.0,3,12.864176
102.0,2,12.86673
101.0,1,12.86844
104.0,5,12.874193
101.0,1,12.875403
104.0,4,12.880061
101.0,1,12.881252
102.0,2,12.884083
101.0,1,12.885382
101.0,1,12.886653
101.0,1,12.887953
102.0,2,12.890246
101.0,1,12.89159
104.0,5,12.900422
104.0,5,12.910212
102.0,4,12.916443
105.0,6,12.923494
104.0,4,12.928751
101.0,2,12.931476
101.0,1,12.932744
101.0,3,12.936361
103.0,4,12.941197
101.0,2,12.943669
102.0,3,12.948831
101.0,1,12.950629
104.0,4,12.956849
103.0,3,12.960781
101.0,1,12.962163
101.0,1,12.963345
102.0,2,12.965658
102.0,2,12.968063
105.0,5,12.973726
101.0,1,12.975075
101.0,1,12.976264
101.0,1,12.978152
104.0,4,12.984986
101.0,2,12.988519
103.0,3,12.995972
101.0,1,12.999328
101.0,1,13.002162
102.0,4,13.007452
101.0,4,13.012685
103.0,5,13.018775
102.0,6,13.02765
101.0,1,13.029541
102.0,3,13.035286
101.0,1,13.037102
102.0,2,13.041142
103.0,4,13.048142
