#{"t_start": 1760184802.503352, "env_id": "None"}
r,l,t
102.0,2,13.896412
101.0,1,13.897655
101.0,1,13.898941
102.0,2,13.901432
104.0,4,13.906762
101.0,1,13.907972
101.0,2,13.910518
102.0,2,13.912927
106.0,7,13.921856
103.0,3,13.925586
101.0,1,13.926856
104.0,4,13.931492
105.0,5,13.938202
101.0,1,13.939508
104.0,6,13.946929
103.0,3,13.951015
101.0,1,13.9526
104.0,4,13.957405
103.0,6,13.964707
103.0,3,13.969003
5.0,10,13.981337
104.0,5,13.988175
102.0,2,13.990662
103.0,3,13.994306
105.0,7,14.003223
101.0,1,14.004497
101.0,2,14.006988
103.0,3,14.010646
102.0,2,14.013129
104.0,4,14.019163
106.0,6,14.029544
101.0,1,14.031457
101.0,1,14.033752
102.0,2,14.036271
102.0,2,14.038728
105.0,7,14.047418
101.0,1,14.048973
101.0,1,14.050352
104.0,4,14.055251
102.0,2,14.057675
102.0,3,14.061471
102.0,2,14.06392
105.0,9,14.080269
101.0,1,14.081577
102.0,6,14.089277
101.0,2,14.091818
102.0,2,14.094362
101.0,1,14.096071
101.0,1,14.097404
101.0,1,14.098605
101.0,1,14.099844
101.0,1,14.101014
102.0,2,14.10343
103.0,3,14.107505
101.0,1,14.108784
102.0,2,14.11201
102.0,2,14.115663
102.0,2,14.119333
101.0,1,14.121319
101.0,1,14.123323
6.0,10,14.136525
101.0,1,14.138059
104.0,5,14.144493
102.0,3,14.148172
101.0,1,14.14944
104.0,4,14.154284
101.0,1,14.155589
101.0,3,14.160103
102.0,2,14.162464
101.0,1,14.163666
103.0,3,14.16738
102.0,4,14.172423
101.0,1,14.173674
102.0,2,14.176762
101.0,1,14.17805
102.0,2,14.180711
104.0,4,14.185727
101.0,2,14.188249
102.0,2,14.191216
101.0,1,14.192569
103.0,3,14.196068
101.0,1,14.197348
102.0,2,14.199823
103.0,4,14.204963
101.0,3,14.208678
104.0,4,14.213665
102.0,3,14.21746
102.0,4,14.222335
102.0,2,14.225763
103.0,3,14.229053
101.0,1,14.230352
101.0,1,14.231611
101.0,2,14.234209
101.0,2,14.236699
101.0,2,14.239991
102.0,4,14.246779
101.0,1,14.248521
104.0,6,14.258343
102.0,2,14.260846
101.0,1,14.262134
102.0,2,14.264628
101.0,1,14.265931
101.0,2,14.268244
103.0,4,14.273594
102.0,2,14.276035
101.0,1,14.277315
101.0,1,14.278579
105.0,5,14.284427
102.0,3,14.288707
103.0,4,14.293426
103.0,3,14.297031
103.0,5,14.304084
104.0,4,14.308825
101.0,1,14.310101
101.0,2,14.312593
103.0,3,14.316378
105.0,5,14.323247
101.0,1,14.324462
103.0,3,14.32808
101.0,2,14.330648
101.0,1,14.331874
101.0,1,14.333221
102.0,2,14.336822
101.0,1,14.338703
102.0,2,14.342083
106.0,8,14.354929
102.0,2,14.357418
103.0,3,14.360972
102.0,2,14.363547
102.0,2,14.3662
106.0,10,14.378985
101.0,1,14.380331
101.0,1,14.381845
101.0,1,14.38384
101.0,1,14.385744
102.0,2,14.389173
101.0,1,14.390933
104.0,4,14.398198
101.0,1,14.400347
102.0,2,14.40405
101.0,2,14.407741
101.0,1,14.40951
101.0,1,14.411339
104.0,7,14.421314
101.0,3,14.4247
102.0,2,14.427327
105.0,7,14.436086
101.0,1,14.437278
101.0,1,14.438528
106.0,8,14.450557
103.0,3,14.455669
101.0,1,14.456953
101.0,1,14.458277
101.0,1,14.459618
102.0,2,14.462482
102.0,2,14.464703
101.0,1,14.465927
104.0,5,14.471872
102.0,2,14.474162
102.0,2,14.47746
106.0,7,14.490088
101.0,1,14.492049
101.0,2,14.495047
101.0,1,14.496262
101.0,1,14.497523
101.0,1,14.498769
101.0,1,14.500035
101.0,1,14.501238
104.0,4,14.506315
103.0,5,14.514727
101.0,1,14.51643
101.0,1,14.51811
101.0,1,14.520016
101.0,1,14.521983
102.0,2,14.52611
103.0,4,14.533394
101.0,1,14.535297
105.0,7,14.546036
101.0,1,14.547319
101.0,2,14.549828
101.0,1,14.551189
103.0,3,14.555007
101.0,1,14.556516
102.0,2,14.559381
102.0,3,14.563009
102.0,2,14.565387
101.0,1,14.566534
101.0,1,14.567793
102.0,3,14.571545
102.0,2,14.574482
101.0,2,14.576842
101.0,3,14.58048
103.0,6,14.587908
101.0,1,14.589842
101.0,1,14.591717
103.0,4,14.598837
101.0,1,14.600775
101.0,1,14.602754
101.0,1,14.604904
101.0,1,14.606612
102.0,2,14.609458
101.0,1,14.610736
103.0,5,14.616803
105.0,5,14.623497
102.0,3,14.627144
101.0,1,14.628305
101.0,1,14.62952
102.0,2,14.632007
105.0,7,14.640883
101.0,2,14.643351
102.0,4,14.648056
104.0,5,14.654502
101.0,1,14.655788
104.0,5,14.661663
103.0,3,14.665349
