#{"t_start": 1760184802.4933827, "env_id": "None"}
r,l,t
101.0,1,12.98292
101.0,1,12.984727
101.0,1,12.986714
102.0,2,12.990433
101.0,1,12.991744
101.0,1,12.993039
102.0,3,12.996608
104.0,6,13.004061
101.0,2,13.00698
101.0,2,13.009318
103.0,5,13.015517
102.0,2,13.018083
102.0,2,13.021376
105.0,9,13.03792
104.0,4,13.045119
102.0,2,13.048804
105.0,5,13.056661
101.0,1,13.057851
103.0,4,13.062772
105.0,9,13.075254
101.0,1,13.076562
101.0,2,13.079051
104.0,4,13.08479
101.0,1,13.086059
101.0,2,13.088564
101.0,1,13.089808
102.0,2,13.092291
101.0,2,13.094686
102.0,2,13.097462
102.0,2,13.100676
104.0,4,13.107893
101.0,1,13.109714
104.0,4,13.116835
101.0,1,13.118089
103.0,3,13.121781
105.0,5,13.127992
102.0,2,13.130446
104.0,4,13.135756
102.0,4,13.140666
101.0,3,13.144335
101.0,1,13.145561
101.0,2,13.148881
102.0,2,13.151394
104.0,5,13.157239
104.0,4,13.161862
101.0,1,13.163541
101.0,2,13.165964
101.0,1,13.167268
102.0,3,13.170822
105.0,5,13.177151
102.0,2,13.179993
106.0,9,13.190544
105.0,6,13.198113
101.0,1,13.19942
101.0,1,13.200758
101.0,2,13.203338
103.0,4,13.208304
101.0,1,13.209584
101.0,3,13.215386
101.0,3,13.21934
104.0,5,13.225323
101.0,1,13.227173
101.0,1,13.228736
101.0,2,13.231297
104.0,5,13.23727
101.0,2,13.239937
102.0,2,13.242921
102.0,2,13.245349
103.0,3,13.249127
101.0,1,13.250381
101.0,1,13.251671
102.0,2,13.254306
101.0,1,13.25553
103.0,4,13.262007
102.0,2,13.265846
102.0,6,13.277381
104.0,4,13.281871
104.0,5,13.287763
101.0,1,13.28898
101.0,1,13.290394
105.0,5,13.2969
101.0,1,13.298199
101.0,1,13.299455
104.0,4,13.304498
101.0,1,13.305726
101.0,1,13.307718
103.0,4,13.313647
102.0,3,13.317273
104.0,4,13.323187
102.0,3,13.328542
104.0,4,13.335423
102.0,3,13.340709
101.0,1,13.341968
101.0,2,13.344387
101.0,1,13.345698
101.0,3,13.349622
106.0,7,13.359192
101.0,1,13.360469
105.0,9,13.371598
101.0,2,13.374098
102.0,2,13.376628
103.0,3,13.380486
104.0,7,13.390257
101.0,1,13.392049
102.0,3,13.397348
105.0,5,13.405605
104.0,4,13.410337
102.0,4,13.4156
102.0,2,13.41818
101.0,1,13.41977
105.0,7,13.428247
101.0,1,13.42955
101.0,2,13.432112
101.0,1,13.433408
101.0,2,13.436462
101.0,1,13.437772
101.0,4,13.442813
101.0,1,13.444123
103.0,3,13.449393
102.0,2,13.452143
102.0,2,13.45459
103.0,3,13.458204
102.0,4,13.462957
102.0,3,13.46804
101.0,1,13.469943
102.0,4,13.47686
102.0,2,13.480934
101.0,1,13.48317
102.0,2,13.487024
101.0,2,13.490535
102.0,2,13.493926
101.0,1,13.49519
106.0,9,13.510664
101.0,1,13.512521
102.0,2,13.516758
101.0,1,13.518564
101.0,1,13.520344
101.0,1,13.522046
101.0,1,13.523733
103.0,3,13.529196
101.0,2,13.532772
102.0,3,13.536159
102.0,3,13.539888
101.0,1,13.541072
101.0,1,13.542295
101.0,1,13.543576
102.0,2,13.546135
105.0,7,13.558974
3.0,10,13.577492
101.0,1,13.58034
103.0,3,13.585885
103.0,3,13.590961
101.0,1,13.59282
104.0,5,13.599974
101.0,1,13.601163
102.0,2,13.603599
101.0,1,13.604918
102.0,4,13.609806
102.0,2,13.613879
101.0,1,13.615754
101.0,2,13.619432
103.0,4,13.626896
104.0,4,13.632087
103.0,3,13.635624
101.0,1,13.636984
101.0,2,13.639502
103.0,5,13.645838
104.0,4,13.650723
104.0,4,13.655715
101.0,1,13.656917
101.0,1,13.658126
106.0,7,13.667445
5.0,10,13.681136
103.0,3,13.685195
101.0,1,13.686544
106.0,7,13.697817
103.0,3,13.703294
102.0,2,13.70717
101.0,1,13.708548
101.0,1,13.709859
101.0,1,13.711155
101.0,1,13.712521
102.0,4,13.717649
102.0,3,13.721215
101.0,1,13.722852
101.0,2,13.725385
101.0,2,13.727821
102.0,2,13.73025
101.0,2,13.732795
103.0,3,13.736491
101.0,1,13.737803
101.0,1,13.73965
104.0,5,13.748279
101.0,1,13.750193
104.0,4,13.757824
101.0,1,13.759659
101.0,1,13.761386
102.0,3,13.766923
101.0,1,13.768763
101.0,1,13.77088
101.0,1,13.772579
101.0,1,13.773799
103.0,4,13.779208
104.0,6,13.786713
106.0,9,13.803177
101.0,1,13.80451
101.0,1,13.805768
101.0,1,13.80695
102.0,3,13.810644
101.0,1,13.811819
102.0,3,13.815602
102.0,2,13.818039
103.0,3,13.822085
101.0,2,13.824548
106.0,6,13.831804
104.0,5,13.838017
101.0,1,13.839201
104.0,6,13.846435
102.0,2,13.848868
101.0,1,13.850142
101.0,1,13.851969
101.0,2,13.854482
101.0,3,13.858079
102.0,2,13.860569
102.0,4,13.865621
102.0,2,13.868613
103.0,3,13.872286
104.0,7,13.881067
102.0,4,13.88911
105.0,6,13.900087
101.0,1,13.901473
105.0,5,13.907503
101.0,1,13.908766
101.0,1,13.910076
102.0,2,13.912561
102.0,3,13.916597
102.0,2,13.919083
101.0,1,13.920338
104.0,5,13.926567
104.0,5,13.933022
105.0,9,13.943928
101.0,2,13.946544
101.0,1,13.948072
101.0,1,13.949354
103.0,3,13.953064
101.0,2,13.955622
102.0,2,13.958288
102.0,2,13.96086
103.0,3,13.96503
102.0,3,13.968523
104.0,4,13.973197
103.0,3,13.977161
102.0,2,13.980318
102.0,4,13.985018
101.0,2,13.987341
101.0,2,13.989829
101.0,1,13.991161
101.0,1,13.992764
101.0,1,13.994053
104.0,4,13.9993
101.0,1,14.000482
101.0,1,14.001811
104.0,6,14.009
101.0,2,14.011901
101.0,2,14.014339
101.0,1,14.015616
101.0,1,14.016836
102.0,2,14.019305
101.0,3,14.022963
101.0,2,14.02534
105.0,5,14.034303
102.0,2,14.037602
101.0,1,14.039338
101.0,1,14.041236
102.0,3,14.046117
104.0,5,14.052262
101.0,1,14.053708
101.0,1,14.054942
101.0,2,14.057246
103.0,3,14.061479
101.0,1,14.062657
101.0,1,14.063905
104.0,5,14.070019
101.0,1,14.071314
103.0,5,14.0794
101.0,1,14.081485
102.0,2,14.085074
103.0,3,14.090136
101.0,1,14.091455
101.0,1,14.092692
101.0,1,14.093929
101.0,1,14.095114
101.0,1,14.09636
101.0,1,14.097814
102.0,2,14.100409
102.0,2,14.102973
101.0,1,14.104227
104.0,8,14.114617
101.0,1,14.11599
101.0,1,14.117328
104.0,6,14.127312
101.0,1,14.129131
101.0,1,14.131035
104.0,6,14.140457
101.0,1,14.141694
101.0,1,14.142929
101.0,1,14.144165
104.0,4,14.14919
104.0,7,14.158017
102.0,2,14.160561
104.0,5,14.166737
102.0,2,14.169913
104.0,5,14.175969
101.0,1,14.177215
101.0,2,14.179687
102.0,2,14.182239
102.0,2,14.185283
102.0,3,14.189216
101.0,1,14.190556
101.0,1,14.192029
101.0,1,14.193413
103.0,3,14.196846
101.0,2,14.199436
101.0,1,14.201013
101.0,1,14.202446
103.0,4,14.207184
101.0,2,14.209668
101.0,1,14.211034
102.0,2,14.213619
104.0,6,14.22104
105.0,9,14.232152
101.0,1,14.234409
104.0,5,14.240181
102.0,2,14.242719
104.0,4,14.247854
105.0,5,14.256564
102.0,2,14.260166
102.0,2,14.263839
101.0,1,14.265689
101.0,1,14.266914
101.0,1,14.26821
101.0,1,14.269463
101.0,1,14.270697
101.0,1,14.271985
105.0,7,14.280831
102.0,2,14.28347
102.0,2,14.285913
101.0,1,14.287155
103.0,4,14.291992
102.0,2,14.294297
106.0,7,14.303302
103.0,4,14.308312
102.0,2,14.310896
101.0,1,14.312174
104.0,6,14.319948
101.0,1,14.321239
101.0,1,14.322439
101.0,1,14.323724
102.0,4,14.329287
101.0,1,14.33059
101.0,1,14.331849
101.0,1,14.333094
103.0,3,14.336772
102.0,2,14.339337
104.0,5,14.346656
101.0,1,14.348501
102.0,2,14.351922
101.0,1,14.353705
101.0,1,14.355536
101.0,1,14.357247
101.0,3,14.362452
103.0,3,14.366044
101.0,1,14.367293
105.0,5,14.373355
101.0,1,14.374794
101.0,1,14.37604
102.0,2,14.379421
101.0,2,14.381882
101.0,1,14.383065
103.0,4,14.387618
102.0,3,14.391658
103.0,7,14.404452
101.0,1,14.40623
101.0,1,14.40803
101.0,1,14.410174
101.0,3,14.415828
102.0,2,14.419355
101.0,1,14.421138
102.0,2,14.425092
103.0,3,14.428756
104.0,6,14.435899
101.0,1,14.437206
104.0,5,14.443481
101.0,1,14.444727
104.0,8,14.454768
101.0,2,14.458611
101.0,1,14.460314
101.0,1,14.462256
104.0,5,14.469464
101.0,1,14.471043
103.0,4,14.475805
102.0,2,14.478064
101.0,2,14.480453
101.0,1,14.481746
104.0,5,14.489371
101.0,1,14.491219
103.0,4,14.498165
101.0,1,14.49988
101.0,1,14.501837
101.0,2,14.50489
101.0,2,14.507402
102.0,2,14.509884
102.0,2,14.51237
101.0,1,14.513672
101.0,1,14.514954
102.0,2,14.517474
101.0,1,14.519218
104.0,7,14.531774
101.0,1,14.533671
101.0,1,14.535932
101.0,1,14.537806
101.0,1,14.539618
101.0,2,14.543187
102.0,2,14.547003
101.0,2,14.550636
102.0,2,14.553458
101.0,1,14.554664
104.0,4,14.559705
104.0,4,14.564847
101.0,1,14.566183
101.0,1,14.568033
101.0,1,14.569225
104.0,4,14.574101
103.0,4,14.578919
101.0,1,14.580229
104.0,5,14.586684
101.0,1,14.587978
101.0,1,14.589161
101.0,2,14.591591
102.0,2,14.593979
101.0,1,14.59527
103.0,3,14.59966
101.0,1,14.601563
101.0,2,14.605069
101.0,2,14.608634
101.0,1,14.610609
101.0,1,14.612508
101.0,2,14.616443
101.0,1,14.617974
101.0,1,14.619301
101.0,1,14.620613
103.0,3,14.624249
101.0,1,14.62544
101.0,1,14.626682
105.0,5,14.633373
101.0,1,14.634596
104.0,6,14.641882
105.0,6,14.649563
102.0,2,14.65201
103.0,3,14.655497
101.0,1,14.656691
104.0,4,14.661647
101.0,1,14.66306
101.0,1,14.664322
101.0,1,14.665636
101.0,2,14.667958
101.0,2,14.670327
105.0,5,14.676474
101.0,1,14.677789
102.0,3,14.682874
101.0,1,14.684128
102.0,2,14.686445
101.0,1,14.687744
104.0,6,14.695316
102.0,3,14.698772
101.0,2,14.701257
104.0,5,14.707239
101.0,1,14.708631
101.0,2,14.711967
102.0,2,14.715653
102.0,3,14.720526
105.0,6,14.731667
101.0,1,14.733517
